sample,species,tissue,ACE2.FPKM,ACTB.FPKM,norm_expression,source
SRR3200449,Felis_catus,lung,0.001375759,0.744410203,18.48119537,https://www.biorxiv.org/content/10.1101/2020.03.30.015644v1
SRR8996965,Canis_lupus_familiaris,lung,7.18509E-05,0.493604103,1.45563918,https://www.biorxiv.org/content/10.1101/2020.03.30.015644v1
SRR6206916,Canis_lupus_familiaris,lung,0.000157016,0.633915514,2.476915331,https://www.biorxiv.org/content/10.1101/2020.03.30.015644v1
ERR789447,Sus_scrofa,lung,0.000559075,0.746246347,7.491833303,https://www.biorxiv.org/content/10.1101/2020.03.30.015644v1
SRX196376,Gallus_gallus,lung,0.045362,3334.384603,0.136043095,https://bgee.org
SRX196385,Gallus_gallus,lung,0,6184.020485,0,https://bgee.org
SRX196394,Gallus_gallus,lung,0,2816.594112,0,https://bgee.org
SRR6206917,Mustela_putorius_furo,lung,0.00244123,1.273191658,19.17409608,https://www.biorxiv.org/content/10.1101/2020.03.30.015644v1
ERX288491,Homo_sapiens,lung,0.734329,2474.937431,2.967060867,https://bgee.org
ERX288496,Homo_sapiens,lung,1.353012,2275.381763,5.946307657,https://bgee.org
ERX288531,Homo_sapiens,lung,0.752977,2327.867528,3.234621347,https://bgee.org
ERX288596,Homo_sapiens,lung,1.616417,2041.541679,7.917629195,https://bgee.org
ERX288597,Homo_sapiens,lung,1.30127,1603.220662,8.116599485,https://bgee.org
ERX288615,Homo_sapiens,lung,0.922809,1864.857068,4.948416776,https://bgee.org
ERX288620,Homo_sapiens,lung,1.357092,2517.581935,5.390458126,https://bgee.org
ERX288640,Homo_sapiens,lung,1.128686,1984.755659,5.686775573,https://bgee.org
ERX011222,Homo_sapiens,lung,0.364099,6052.253286,0.601592469,https://bgee.org
ERX011227,Homo_sapiens,lung,0.678579,4895.012162,1.386266219,https://bgee.org
SRX815513,Homo_sapiens,lung,0.221658,757.034408,2.927977879,https://bgee.org
SRX815514,Homo_sapiens,lung,0.27268,893.376099,3.052241943,https://bgee.org
SRX815515,Homo_sapiens,lung,0.805349,555.026115,14.51011003,https://bgee.org
SRX815516,Homo_sapiens,lung,1.244018,476.965371,26.08193541,https://bgee.org
SRX815517,Homo_sapiens,lung,1.001129,706.600674,14.16824292,https://bgee.org
SRX815518,Homo_sapiens,lung,1.170937,489.438695,23.92407899,https://bgee.org
SRX1020489,Homo_sapiens,lung,0.924991,561.513507,16.47317453,https://bgee.org
SRX1020488,Homo_sapiens,lung,0.680661,806.935031,8.435140053,https://bgee.org
SRX196304,Rattus_norvegicus,lung,11.590396,4625.569763,25.05722883,https://bgee.org
SRX196295,Rattus_norvegicus,lung,9.133804,2957.506344,30.88346376,https://bgee.org
SRX196313,Rattus_norvegicus,lung,17.085654,1822.732811,93.7364703,https://bgee.org
ERX012349,Mus_musculus,lung,8.1218,1239.683976,65.51508414,https://bgee.org
ERX012352,Mus_musculus,lung,14.979291,825.394821,181.4803124,https://bgee.org
ERX012357,Mus_musculus,lung,12.039495,843.698453,142.699029,https://bgee.org
ERX012367,Mus_musculus,lung,8.635802,1636.736066,52.76233706,https://bgee.org
ERX012368,Mus_musculus,lung,9.429996,1304.426667,72.29226632,https://bgee.org
ERX012371,Mus_musculus,lung,9.014672,1276.108772,70.64187785,https://bgee.org
SRX147583,Mus_musculus,lung,8.292428,5800.038019,14.29719594,https://bgee.org
SRX196277,Mus_musculus,lung,9.342371,1802.966526,51.81666362,https://bgee.org
SRX196286,Mus_musculus,lung,4.449303,2139.828303,20.79280377,https://bgee.org
SRX196269,Mus_musculus,lung,14.672315,1384.922708,105.9432047,https://bgee.org
